#Iin in mA, Eff in %
0.00996946, 0
0.0199687, 0
0.0299687, 7.744261143
0.0399692, 17.73465412
0.0499697, 25.53473954
0.0599693, 28.33148703
0.0699706, 31.69391706
0.0799715, 34.14521501
0.0899729, 35.38415262
0.0999747, 36.35678301
0.199887, 46.62342272
0.299881, 51.01176814
0.399877, 53.36591953
0.499878, 54.76574473
0.599892, 55.4171726
0.699896, 56.18681408
0.799904, 56.35928886
0.899912, 56.36828215
0.999917, 55.94460988
4.99716, 59.22682308
9.99765, 54.09065786
15.99, 52.27990611
20.99, 54.22873316
24.9891, 57.77176184
28.7895, 51.65688708
30.2884, 47.88592425
32.8707, 49.97477364
