#Iin in mA, Eff in %
0.00996873, 81.11138114
0.0199683, 82.66582415
0.0299683, 83.6247128
0.0399687, 85.07630829
0.0499688, 85.32256684
0.05997, 85.56621631
0.0699698, 85.62393331
0.079971, 85.72166169
0.0899729, 85.8610591
0.0999742, 85.94371613
0.199881, 86.04600979
0.299874, 86.95284497
0.399871, 87.01143868
0.49987, 87.03241064
0.599886, 87.14020164
0.69989, 87.2822959
0.7999, 87.30728591
0.899907, 87.27732388
0.999909, 87.07315784
4.99718, 85.98148464
9.99756, 84.75634719
14.9891, 82.16257357
19.9897, 81.49350213
24.9887, 80.85460947
30, 79.7340367
40, 77.62816224
