#Iin in mA, Eff in %
0.0097, 62.9121299
0.0199688, 73.05822933
0.0299689, 77.10179402
0.0399686, 79.03880438
0.0499693, 80.36824056
0.0599702, 81.16155501
0.0699709, 81.5884385
0.0799717, 81.96705566
0.0899727, 81.96672548
0.0999731, 82.00417203
0.199882, 83.34394562
0.299877, 83.92572896
0.399871, 84.36997321
0.499871, 84.1163844
0.599886, 84.04754255
0.699891, 84.21000886
0.7999, 84.42783857
0.899907, 84.66175956
0.999913, 84.75220921
4.99723, 84.92338376
10, 84.64768505
14.989, 84.75002584
19.989, 84.72293771
24.989, 84.47164676
29.989, 84.18371534
39.989, 83.63971289
