#Iin in mA, Eff in %
0.0097, 15.48596275
0.0199686, 41.85238588
0.0299692, 51.51178954
0.0399695, 55.83813457
0.0499699, 58.66045621
0.05997, 60.45859601
0.06997, 61.81830634
0.0799714, 63.04247451
0.0899728, 63.85242583
0.0999735, 64.40244284
0.199884, 67.35468978
0.299877, 66.51760081
0.399877, 65.71171586
0.499878, 67.43340251
0.599893, 68.41460109
0.699895, 69.02754227
0.799906, 69.3853431
0.899915, 69.5689912
0.999922, 69.64747547
4.99724, 64.68024248
9.99762, 62.57189878
14.99, 63.15874331
19.9897, 46.15237193
24.9884, 48.25446435
29.9574, 45.83297543
32.2658, 47.45212929
33.4017, 41.97341569
