#Iin in mA, Eff in %
0.00997, 33.99905076
0.019969, 53.66631258
0.0299693, 58.47154589
0.039969, 63.31128724
0.0499696, 64.11237005
0.0599699, 64.34323329
0.0699706, 64.93318399
0.0799729, 65.14284664
0.0899738, 65.16903902
0.0999755, 64.88379347
0.19989, 65.26856328
0.299884, 66.90781131
0.399881, 67.74627527
0.499877, 68.25486248
0.599892, 68.4651631
0.6999, 68.63288311
0.799907, 68.67286604
0.899915, 68.57440946
0.99992, 68.40867196
4.99716, 58.6988707
9.99749, 58.51665502
14.9887, 58.05094727
19.9896, 57.50489208
24.9889, 48.74316638
29.9874, 41.58287513
34.6468, 36.54068584
35.6697, 35.85871907
