#Iin in mA, Eff in %
0.00996907, 58.00037209
0.0199687, 70.65829573
0.0299681, 74.47155375
0.0399683, 75.92233301
0.0499691, 77.1211725
0.0599699, 77.79207815
0.0699704, 78.23849419
0.0799708, 78.56763391
0.0899725, 78.49091546
0.0999731, 79.04339468
0.199883, 79.63747943
0.299876, 80.06886937
0.399872, 80.53152366
0.499871, 80.74873101
0.599884, 80.8643988
0.699891, 80.80410871
0.7999, 80.61395668
0.899909, 80.36415816
0.999912, 79.37331204
4.9971, 77.60857798
9.99751, 76.66567005
14.9887, 74.22914677
19.99, 74.28482125
24.9882, 74.8494768
29.9785, 74.75741912
33.6754, 74.15613533
37.2035, 73.81306534
