#Iin in mA, Eff in %
0.00996904, 28.47797356
0.0199685, 51.51102846
0.0299686, 59.27898937
0.0399686, 63.70516341
0.0499691, 65.73555158
0.0599703, 67.80363484
0.0699703, 69.31755206
0.0799717, 70.04568699
0.0899724, 70.51260096
0.0999739, 71.54588163
0.199886, 74.19977241
0.299878, 73.66953964
0.399874, 73.54065104
0.499873, 74.52913868
0.599888, 75.30866872
0.699895, 75.8404594
0.799903, 76.2666005
0.899909, 76.52218813
0.999914, 76.41110565
4.99706, 76.12831115
9.99742, 75.07860257
14.9883, 75.04921539
19.9897, 76.36334465
24.9891, 76.91010616
29.9738, 77.39589627
33.8278, 76.93606523
38.5778, 76.9796658
