#Iin in mA, Eff in %
0.00996845, 69.1203538
0.0199688, 75.84101306
0.0299687, 77.98663417
0.0399684, 80.13503684
0.0499686, 80.09133978
0.0599691, 80.78424379
0.0699703, 80.94068024
0.0799714, 81.08671829
0.0899726, 81.30947688
0.0999735, 81.31713504
0.199884, 81.35856154
0.299877, 80.69581388
0.399872, 79.55468634
0.499872, 78.38514841
0.59989, 77.72124833
0.699896, 77.48034409
0.799905, 77.3379939
0.899908, 77.20445271
0.999915, 77.01198613
4.99, 78.45535434
9.99747, 77.18426138
14.9885, 71.34538759
19.9896, 69.78718248
24.9889, 71.69797516
29.9871, 67.22058995
34.61, 67.1851798
36.1156, 66.59861315
