#Vin, Eff in %
0.106742, 39.3742229
0.205963, 64.13589202
0.306195, 72.16024561
0.400936, 76.89760285
0.498313, 78.92431124
0.600555, 80.19264649
0.700785, 82.90115266
0.798572, 84.70299199
0.897161, 85.74485056
0.996719, 86.76207885
1.09756, 87.62561916
1.19789, 88.4268195
1.298, 89.08604854
1.39783, 89.76599072
1.49749, 90.24563847
1.59699, 90.7392799
1.69621, 91.17280847
1.79583, 91.62369837
1.89653, 92.06081036
2.00025, 92.46772318
2.10012, 92.83626357
2.19825, 93.18861045
2.29603, 93.56426127
2.39375, 93.83252619
2.50302, 94.44705647
2.5993, 94.74431989
2.69507, 94.99698049
2.78707, 94.67012891
2.86798, 95.42032864
