#Vin, Eff in %
0.1068, 0
0.207409, 34.73651906
0.300311, 59.16065941
0.402009, 64.3192797
0.500091, 71.63408689
0.599893, 73.87030623
0.700684, 76.97569333
0.799843, 78.40515145
0.898901, 80.46587019
0.999896, 81.21180073
1.1, 83.26139591
1.20013, 83.85132265
1.30001, 84.85657457
1.39965, 85.6807182
1.49887, 86.51501067
1.59875, 87.15552433
1.69898, 87.70810687
1.7992, 88.15290626
1.89917, 88.66008861
1.99908, 89.10458478
2.0988, 89.80292281
2.19888, 89.97127673
2.2986, 90.35305189
2.39831, 90.75711867
2.4977, 91.12161908
2.59749, 91.41167401
2.69684, 91.78244186
2.79683, 92.03053691
2.89818, 92.17038349
2.99885, 92.39913399
