#Vin in V, Eff in %
0.0997919, 0
0.204298, 41.91944014
0.305822, 56.92366591
0.40407, 64.37636822
0.505655, 69.44816999
0.604971, 74.08794454
0.703885, 76.18543362
0.803158, 77.9802061
0.901683, 80.11092473
1.00094, 81.96207305
1.10233, 83.49143286
1.20411, 84.57195637
1.30538, 85.69745667
1.40429, 86.20208051
1.50222, 86.24646531
1.59953, 87.43821236
1.69753, 89.14842057
